


Starting Balance: $1000.00
Annual Interest Rate: 0.04
Monthly Payment: $120.00

Payment     Amount     Interest     Principal     Balance
52          2250.00    566.45       1683.55       121907.65
53          2250.00    558.74       1691.26       120216.39
54          2250.00    550.99       1699.01       118517.38
55          2250.00    543.20       1706.80       116810.58
56          2250.00    535.38       1714.62       115095.96
57          2250.00    527.52       1722.48       113373.48
58          2250.00    519.62       1730.38       111643.10
59          2250.00    511.69       1738.31       109904.79
60          2250.00    503.73       1746.27       108158.52
61          2250.00    495.72       1754.28       106404.24
62          2250.00    487.68       1762.32       104641.92
63          2250.00    479.60       1770.40       102871.52
64          2250.00    471.49       1778.51       101093.01
65          2250.00    463.34       1786.66       99306.35
66          2250.00    455.15       1794.85       97511.50
67          2250.00    446.92       1803.08       95708.42
68          2250.00    438.66       1811.34       93897.08
69          2250.00    430.36       1819.64       92077.44
70          2250.00    422.02       1827.98       90249.46
71          2250.00    413.64       1836.36       88413.10
72          2250.00    405.22       1844.78       86568.32
73          2250.00    396.77       1853.23       84715.09
74          2250.00    388.27       1861.73       82853.36
75          2250.00    379.74       1870.26       80983.10
76          2250.00    371.17       1878.83       79104.27
77          2250.00    362.56       1887.44       77216.83
78          2250.00    353.91       1896.09       75320.74
79          2250.00    345.22       1904.78       73415.96
80          2250.00    336.48       1913.52       71502.44
81          2250.00    327.71       1922.29       69580.15
82          2250.00    318.90       1931.10       67649.05
83          2250.00    310.05       1939.95       65709.10
84          2250.00    301.16       1948.84       63760.26
85          2250.00    292.23       1957.77       61802.49
86          2250.00    283.26       1966.74       59835.75
87          2250.00    274.24       1975.76       57859.99
88          2250.00    265.19       1984.81       55875.18
89          2250.00    256.09       1993.91       53881.27
90          2250.00    246.95       2003.05       51878.22
91          2250.00    237.77       2012.23       49865.99
92          2250.00    228.55       2021.45       47844.54
93          2250.00    219.28       2030.72       45813.82
94          2250.00    209.98       2040.02       43773.80
95          2250.00    200.62       2049.38       41724.42
96          2250.00    191.23       2058.77       39665.65
97          2250.00    181.80       2068.20       37597.45
98          2250.00    172.32       2077.68       35519.77
99          2250.00    162.79       2087.21       33432.56
100         2250.00    153.23       2096.77       31335.79
101         2250.00    143.62       2106.38       29229.41
102         2250.00    133.96       2116.04       27113.37
103         2250.00    124.26       2125.74       24987.63
104         2250.00    114.52       2135.48       22852.15
105         2250.00    104.73       2145.27       20706.88
106         2250.00    94.90        2155.10       18551.78
107         2250.00    85.02        2164.98       16386.80
108         2250.00    75.10        2174.90       14211.90
109         2250.00    65.13        2184.87       12027.03
110         2250.00    55.12        2194.88       9832.15
111         2250.00    45.06        2204.94       7627.21
112         2250.00    34.95        2215.05       5412.16
113         2250.00    24.80        2225.20       3186.96
114         2250.00    14.60        2235.40       951.56
115         955.92     4.36         951.56        0.00 

Total Payments Made: 115
Total Interest Paid: $57455.92


